time,level
2025-02-26 06:02:00,light
2025-02-26 06:03:00,light
2025-02-26 06:04:00,light
2025-02-26 06:05:00,light
2025-02-26 06:06:00,light
2025-02-26 06:07:00,light
2025-02-26 06:08:00,light
2025-02-26 06:09:00,light
2025-02-26 06:10:00,light
2025-02-26 06:11:00,light
2025-02-26 06:12:00,light
2025-02-26 06:13:00,light
2025-02-26 06:14:00,light
2025-02-26 06:15:00,light
2025-02-26 06:16:00,light
2025-02-26 06:17:00,light
2025-02-26 06:18:00,light
2025-02-26 06:19:00,light
2025-02-26 06:20:00,light
2025-02-26 06:21:00,light
2025-02-26 06:22:00,light
2025-02-26 06:23:00,light
2025-02-26 06:24:00,light
